"date","num","num2","str","str2"
"2014-01-03","177","377.407904","boy","green"
"2014-01-19","81","962.530746","girl","green"
"2014-01-25","735","780.628500","boy","purple"
"2014-02-27","750","856.981485","boy","green"
"2014-03-20","511","593.543213","girl","green"
"2014-04-28","376","611.638846","boy","green"
"2014-05-11","383","896.449174","boy","red"
"2014-06-15","14","649.308603","boy","yellow"
"2014-06-20","696","468.557608","girl","purple"
"2014-07-03","77","654.039241","girl","purple"
"2014-07-18","692","764.757498","boy","purple"
"2014-07-30","913","792.939279","girl","blue"
"2014-08-08","406","959.246455","boy","green"
"2014-08-19","786","559.353830","boy","blue"
"2014-08-29","716","297.230107","boy","purple"
"2014-09-19","754","386.054277","girl","purple"
"2014-10-06","274","478.287092","girl","red"
"2014-10-12","879","399.884157","girl","green"
"2014-10-15","405","963.227177","girl","blue"
"2014-10-16","601","12.264062","boy","blue"
"2015-01-07","87","766.796527","girl","yellow"
"2015-01-12","486","934.273402","girl","purple"
"2015-01-16","444","675.865750","girl","green"
"2015-01-19","375","999.277649","boy","purple"
"2015-01-30","106","696.919766","girl","red"
"2015-02-04","318","202.778467","boy","purple"
"2015-03-28","574","497.407833","girl","green"
"2015-04-07","159","218.986116","boy","red"
"2015-05-08","576","816.962775","girl","yellow"
"2015-05-15","41","19.398856","girl","yellow"
"2015-06-01","25","474.845327","boy","purple"
"2015-06-18","335","900.304131","boy","purple"
"2015-07-17","589","682.513232","boy","green"
"2015-08-04","516","294.306018","boy","yellow"
"2015-10-27","294","685.598678","boy","purple"
"2015-10-27","137","889.917252","girl","blue"
"2016-01-10","619","953.566601","boy","yellow"
"2016-02-02","190","555.364733","girl","blue"
"2016-02-17","86","257.336120","girl","yellow"
"2016-02-19","743","103.352871","girl","purple"
"2016-03-03","226","923.971042","boy","purple"
"2016-03-06","634","150.006609","girl","red"
"2016-03-31","507","29.255776","boy","blue"
"2016-05-30","603","409.260247","girl","yellow"
"2016-06-16","801","31.404230","girl","red"
"2016-07-22","792","588.996583","boy","green"
"2016-07-28","706","936.949892","boy","purple"
"2016-08-18","198","456.374699","girl","green"
"2016-08-18","334","285.627067","boy","blue"
"2016-09-10","685","307.054989","boy","blue"
